date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
01-05-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,195,3,189,7,Lucknow Super Giants,complete,6,0,Mohsin Khan,Prakash Bhatt,Chirra Ravikanthreddy,CB Gaffaney,PG Pathak,A Totre,20,"Q de Kock, KL Rahul, DJ Hooda, MP Stoinis, KH Pandya, A Badoni, JO Holder, Mohsin Khan, K Gowtham, PVD Chameera, Ravi Bishnoi","PP Shaw, DA Warner, MR Marsh, RR Pant, Lalit Yadav, R Powell, AR Patel, SN Thakur, Kuldeep Yadav, Mustafizur Rahman, C Sakariya"
01-05-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,202,2,189,6,Chennai Super Kings,complete,13,0,RD Gaikwad,V Narayan Kutty,AK Chaudhary,KN Ananthapadmanabhan,MA Gough,MV Saidharshan Kumar,20,"RD Gaikwad, DP Conway, MS Dhoni, RA Jadeja, RV Uthappa, AT Rayudu, Simarjeet Singh, MJ Santner, D Pretorius, Mukesh Choudhary, M Theekshana","Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram, N Pooran, Shashank Singh, Washington Sundar, M Jansen, B Kumar, T Natarajan, Umran Malik"
02-05-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,152,5,158,3,Kolkata Knight Riders,complete,0,7,RK Singh,Shakti Singh,J Madanagopal,N Pandit,CB Gaffaney,Tapan Sharma,20,"JC Buttler, D Padikkal, SV Samson, KK Nair, R Parag, SO Hetmyer, R Ashwin, TA Boult, M Prasidh Krishna, YS Chahal, KR Sen","B Indrajith, AJ Finch, SS Iyer, N Rana, RK Singh, AS Roy, AD Russell, SP Narine, UT Yadav, TG Southee, Shivam Mavi"
03-05-2022,2022,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Punjab Kings,Gujarat Titans,bat,143,8,145,2,Punjab Kings,complete,0,8,K Rabada,DS Manohar,R Pandit,VK Sharma,HAS Khalid,UV Gandhe,20,"WP Saha, Shubman Gill, B Sai Sudharsan, HH Pandya, DA Miller, R Tewatia, Rashid Khan, PJ Sangwan, LH Ferguson, AS Joseph, Mohammed Shami","JM Bairstow, S Dhawan, PBB Rajapaksa, LS Livingstone, MA Agarwal, JM Sharma, R Dhawan, K Rabada, RD Chahar, Arshdeep Singh, Sandeep Sharma"
04-05-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,173,8,160,8,Royal Challengers Bangalore,complete,13,0,HV Patel,V Narayan Kutty,KN Ananthapadmanabhan,MA Gough,AK Chaudhary,Vinod Seshan,20,"V Kohli, F du Plessis, GJ Maxwell, MK Lomror, RM Patidar, KD Karthik, PWH de Silva, Shahbaz Ahmed, HV Patel, Mohammed Siraj, JR Hazlewood","RD Gaikwad, DP Conway, RV Uthappa, AT Rayudu, MM Ali, RA Jadeja, MS Dhoni, D Pretorius, Simarjeet Singh, M Theekshana, Mukesh Choudhary"
05-05-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,207,3,186,8,Delhi Capitals,complete,21,0,DA Warner,Shakti Singh,Navdeep Singh,NA Patwardhan,Nitin Menon,N Pandit,20,"Mandeep Singh, DA Warner, MR Marsh, RR Pant, R Powell, Lalit Yadav, RV Patel, SN Thakur, Kuldeep Yadav, A Nortje, KK Ahmed","Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram, N Pooran, Shashank Singh, SA Abbott, S Gopal, Kartik Tyagi, B Kumar, Umran Malik"
06-05-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Mumbai Indians,Gujarat Titans,Gujarat Titans,field,177,6,172,5,Mumbai Indians,complete,5,0,TH David,M Nayyar,J Madanagopal,GR Sadashiv Iyer,BNJ Oxenford,R Pandit,20,"Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, KA Pollard, TH David, DR Sams, M Ashwin, K Kartikeya, JJ Bumrah, RP Meredith","WP Saha, Shubman Gill, HH Pandya, B Sai Sudharsan, DA Miller, R Tewatia, Rashid Khan, PJ Sangwan, LH Ferguson, AS Joseph, Mohammed Shami"
07-05-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,Punjab Kings,bat,189,5,190,4,Rajasthan Royals,complete,0,6,YBK Jaiswal,Prakash Bhatt,Chirra Ravikanthreddy,YC Barde,CB Gaffaney,UV Gandhe,20,"JM Bairstow, S Dhawan, PBB Rajapaksa, MA Agarwal, JM Sharma, LS Livingstone, R Dhawan, K Rabada, RD Chahar, Arshdeep Singh, Sandeep Sharma","YBK Jaiswal, JC Buttler, SV Samson, D Padikkal, SO Hetmyer, R Parag, R Ashwin, TA Boult, M Prasidh Krishna, YS Chahal, KR Sen"
07-05-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,176,7,101,10,Lucknow Super Giants,complete,75,0,Avesh Khan,V Narayan Kutty,AK Chaudhary,MA Gough,KN Ananthapadmanabhan,MV Saidharshan Kumar,20,"Q de Kock, KL Rahul, DJ Hooda, KH Pandya, A Badoni, MP Stoinis, JO Holder, PVD Chameera, Avesh Khan, Mohsin Khan, Ravi Bishnoi","B Indrajith, AJ Finch, SS Iyer, N Rana, RK Singh, AD Russell, SP Narine, AS Roy, Shivam Mavi, TG Southee, Harshit Rana"
08-05-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,192,3,125,10,Royal Challengers Bangalore,complete,67,0,PWH de Silva,Shakti Singh,BNJ Oxenford,N Pandit,PG Pathak,A Totre,20,"V Kohli, F du Plessis, RM Patidar, GJ Maxwell, KD Karthik, MK Lomror, Shahbaz Ahmed, PWH de Silva, HV Patel, JR Hazlewood, Mohammed Siraj","Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram, N Pooran, J Suchith, Shashank Singh, Kartik Tyagi, B Kumar, Umran Malik, Fazalhaq Farooqi"
08-05-2022,2022,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,208,6,117,10,Chennai Super Kings,complete,91,0,DP Conway,M Nayyar,Nitin Menon,R Pandit,HAS Khalid,Tapan Sharma,20,"RD Gaikwad, DP Conway, S Dube, AT Rayudu, MS Dhoni, MM Ali, RV Uthappa, DJ Bravo, Simarjeet Singh, M Theekshana, Mukesh Choudhary","DA Warner, KS Bharat, MR Marsh, RR Pant, R Powell, RV Patel, AR Patel, SN Thakur, Kuldeep Yadav, A Nortje, KK Ahmed"
09-05-2022,2022,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,165,9,113,10,Kolkata Knight Riders,complete,52,0,JJ Bumrah,Prakash Bhatt,CB Gaffaney,GR Sadashiv Iyer,BNJ Oxenford,Chirra Ravikanthreddy,20,"VR Iyer, AM Rahane, N Rana, SS Iyer, AD Russell, RK Singh, SP Jackson, PJ Cummins, SP Narine, TG Southee, CV Varun","RG Sharma, Ishan Kishan, Tilak Varma, Ramandeep Singh, TH David, KA Pollard, DR Sams, M Ashwin, K Kartikeya, JJ Bumrah, RP Meredith"
10-05-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,144,4,82,10,Gujarat Titans,complete,62,0,Shubman Gill,V Narayan Kutty,KN Ananthapadmanabhan,MA Gough,AK Chaudhary,Vinod Seshan,20,"WP Saha, Shubman Gill, MS Wade, HH Pandya, DA Miller, R Tewatia, Rashid Khan, R Sai Kishore, AS Joseph, Yash Dayal, Mohammed Shami","Q de Kock, KL Rahul, DJ Hooda, KS Sharma, KH Pandya, A Badoni, MP Stoinis, JO Holder, Mohsin Khan, PVD Chameera, Avesh Khan"
11-05-2022,2022,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,160,6,161,2,Delhi Capitals,complete,0,8,MR Marsh,M Nayyar,NA Patwardhan,Nitin Menon,VK Sharma,Tapan Sharma,20,"YBK Jaiswal, JC Buttler, R Ashwin, D Padikkal, SV Samson, R Parag, HE van der Dussen, TA Boult, M Prasidh Krishna, YS Chahal, KR Sen","KS Bharat, DA Warner, MR Marsh, RR Pant, R Powell, Lalit Yadav, AR Patel, SN Thakur, Kuldeep Yadav, A Nortje, C Sakariya"
12-05-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,97,10,103,5,Mumbai Indians,complete,0,5,DR Sams,Shakti Singh,Chirra Ravikanthreddy,CB Gaffaney,Nitin Menon,A Totre,20,"RD Gaikwad, DP Conway, MM Ali, RV Uthappa, AT Rayudu, MS Dhoni, S Dube, DJ Bravo, Simarjeet Singh, M Theekshana, Mukesh Choudhary","Ishan Kishan, RG Sharma, DR Sams, Tilak Varma, T Stubbs, HR Shokeen, TH David, Ramandeep Singh, JJ Bumrah, RP Meredith, K Kartikeya"
13-05-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,209,9,155,9,Punjab Kings,complete,54,0,JM Bairstow,J Srinath,J Madanagopal,N Pandit,Navdeep Singh,Vinod Seshan,20,"JM Bairstow, S Dhawan, PBB Rajapaksa, LS Livingstone, MA Agarwal, JM Sharma, Harpreet Brar, R Dhawan, RD Chahar, K Rabada, Arshdeep Singh","V Kohli, F du Plessis, RM Patidar, MK Lomror, GJ Maxwell, KD Karthik, Shahbaz Ahmed, HV Patel, PWH de Silva, Mohammed Siraj, JR Hazlewood"
14-05-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,177,6,123,8,Kolkata Knight Riders,complete,54,0,AD Russell,V Narayan Kutty,AK Chaudhary,KN Ananthapadmanabhan,MA Gough,MV Saidharshan Kumar,20,"VR Iyer, AM Rahane, N Rana, SS Iyer, SW Billings, RK Singh, AD Russell, SP Narine, UT Yadav, TG Southee, CV Varun","Abhishek Sharma, KS Williamson, RA Tripathi, AK Markram, N Pooran, Washington Sundar, Shashank Singh, M Jansen, B Kumar, Umran Malik, T Natarajan"
15-05-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,133,5,137,3,Gujarat Titans,complete,0,7,WP Saha,J Srinath,R Pandit,VK Sharma,CB Gaffaney,NA Patwardhan,20,"RD Gaikwad, DP Conway, MM Ali, N Jagadeesan, S Dube, MS Dhoni, MJ Santner, PH Solanki, Simarjeet Singh, M Pathirana, Mukesh Choudhary","WP Saha, Shubman Gill, MS Wade, HH Pandya, DA Miller, R Tewatia, Rashid Khan, R Sai Kishore, AS Joseph, Yash Dayal, Mohammed Shami"
15-05-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,178,6,154,8,Rajasthan Royals,complete,24,0,TA Boult,Prakash Bhatt,PG Pathak,Tapan Sharma,BNJ Oxenford,YC Barde,20,"YBK Jaiswal, JC Buttler, SV Samson, D Padikkal, R Parag, JDS Neesham, R Ashwin, TA Boult, M Prasidh Krishna, YS Chahal, OC McCoy","Q de Kock, KL Rahul, A Badoni, DJ Hooda, KH Pandya, MP Stoinis, JO Holder, PVD Chameera, Mohsin Khan, Avesh Khan, Ravi Bishnoi"
16-05-2022,2022,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,Punjab Kings,Punjab Kings,field,159,7,142,9,Delhi Capitals,complete,17,0,SN Thakur,Prakash Bhatt,GR Sadashiv Iyer,Nitin Menon,MA Gough,Navdeep Singh,20,"DA Warner, SN Khan, MR Marsh, Lalit Yadav, RR Pant, R Powell, AR Patel, SN Thakur, Kuldeep Yadav, A Nortje, KK Ahmed","JM Bairstow, S Dhawan, PBB Rajapaksa, LS Livingstone, MA Agarwal, JM Sharma, Harpreet Brar, R Dhawan, RD Chahar, K Rabada, Arshdeep Singh"
17-05-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,193,6,190,7,Sunrisers Hyderabad,complete,3,0,RA Tripathi,J Srinath,CB Gaffaney,N Pandit,Navdeep Singh,HAS Khalid,20,"Abhishek Sharma, PK Garg, RA Tripathi, N Pooran, AK Markram, KS Williamson, Washington Sundar, B Kumar, Umran Malik, T Natarajan, Fazalhaq Farooqi","RG Sharma, Ishan Kishan, DR Sams, Tilak Varma, TH David, T Stubbs, Ramandeep Singh, R Sanjay Yadav, JJ Bumrah, M Markande, RP Meredith"
18-05-2022,2022,Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,210,0,208,8,Lucknow Super Giants,complete,2,0,Q de Kock,M Nayyar,R Pandit,YC Barde,BNJ Oxenford,NA Patwardhan,20,"Q de Kock, KL Rahul, E Lewis, DJ Hooda, M Vohra, MP Stoinis, JO Holder, K Gowtham, Mohsin Khan, Avesh Khan, Ravi Bishnoi","VR Iyer, A Tomar, N Rana, SS Iyer, SW Billings, AD Russell, RK Singh, SP Narine, UT Yadav, TG Southee, CV Varun"
19-05-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,168,5,170,2,Royal Challengers Bangalore,complete,0,8,V Kohli,J Srinath,KN Ananthapadmanabhan,GR Sadashiv Iyer,Navdeep Singh,Tapan Sharma,20,"WP Saha, Shubman Gill, MS Wade, HH Pandya, DA Miller, R Tewatia, Rashid Khan, R Sai Kishore, LH Ferguson, Yash Dayal, Mohammed Shami","V Kohli, F du Plessis, GJ Maxwell, KD Karthik, RM Patidar, MK Lomror, Shahbaz Ahmed, HV Patel, PWH de Silva, JR Hazlewood, S Kaul"
20-05-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,150,6,151,5,Rajasthan Royals,complete,0,5,R Ashwin,M Nayyar,CB Gaffaney,NA Patwardhan,YC Barde,PG Pathak,20,"RD Gaikwad, DP Conway, MM Ali, N Jagadeesan, AT Rayudu, MS Dhoni, MJ Santner, Simarjeet Singh, Mukesh Choudhary, PH Solanki, M Pathirana","YBK Jaiswal, JC Buttler, SV Samson, D Padikkal, R Ashwin, SO Hetmyer, R Parag, TA Boult, YS Chahal, M Prasidh Krishna, OC McCoy"
21-05-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Delhi Capitals,Mumbai Indians,Mumbai Indians,field,159,7,160,5,Mumbai Indians,complete,0,5,JJ Bumrah,J Srinath,Nitin Menon,Tapan Sharma,HAS Khalid,GR Sadashiv Iyer,20,"PP Shaw, DA Warner, MR Marsh, RR Pant, SN Khan, R Powell, AR Patel, SN Thakur, Kuldeep Yadav, A Nortje, KK Ahmed","Ishan Kishan, RG Sharma, D Brevis, Tilak Varma, TH David, Ramandeep Singh, DR Sams, HR Shokeen, JJ Bumrah, M Markande, RP Meredith"
22-05-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,157,8,160,5,Punjab Kings,complete,0,5,Harpreet Brar,J Srinath,AK Chaudhary,NA Patwardhan,CB Gaffaney,Navdeep Singh,20,"PK Garg, Abhishek Sharma, RA Tripathi, AK Markram, N Pooran, Washington Sundar, R Shepherd, J Suchith, B Kumar, Umran Malik, Fazalhaq Farooqi","JM Bairstow, S Dhawan, M Shahrukh Khan, MA Agarwal, LS Livingstone, JM Sharma, PN Mankad, Harpreet Brar, K Rabada, NT Ellis, Arshdeep Singh"
24-05-2022,2022,Kolkata,"Eden Gardens, Kolkata",Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,188,6,191,3,Gujarat Titans,complete,0,7,DA Miller,M Nayyar,BNJ Oxenford,VK Sharma,MA Gough,J Madanagopal,20,"YBK Jaiswal, JC Buttler, SV Samson, D Padikkal, SO Hetmyer, R Parag, R Ashwin, TA Boult, YS Chahal, M Prasidh Krishna, OC McCoy","WP Saha, Shubman Gill, MS Wade, HH Pandya, DA Miller, R Tewatia, Rashid Khan, R Sai Kishore, AS Joseph, Yash Dayal, Mohammed Shami"
25-05-2022,2022,Kolkata,"Eden Gardens, Kolkata",Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,207,4,193,6,Royal Challengers Bangalore,complete,14,0,RM Patidar,M Nayyar,J Madanagopal,MA Gough,BNJ Oxenford,VK Sharma,20,"V Kohli, F du Plessis, RM Patidar, GJ Maxwell, MK Lomror, KD Karthik, Shahbaz Ahmed, HV Patel, PWH de Silva, JR Hazlewood, Mohammed Siraj","Q de Kock, KL Rahul, M Vohra, DJ Hooda, MP Stoinis, E Lewis, KH Pandya, PVD Chameera, Mohsin Khan, Avesh Khan, Ravi Bishnoi"
27-05-2022,2022,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,157,8,161,3,Rajasthan Royals,complete,0,7,JC Buttler,J Srinath,CB Gaffaney,Nitin Menon,AK Chaudhary,KN Ananthapadmanabhan,20,"V Kohli, F du Plessis, RM Patidar, GJ Maxwell, MK Lomror, KD Karthik, Shahbaz Ahmed, PWH de Silva, HV Patel, JR Hazlewood, Mohammed Siraj","YBK Jaiswal, JC Buttler, SV Samson, D Padikkal, SO Hetmyer, R Parag, R Ashwin, TA Boult, YS Chahal, M Prasidh Krishna, OC McCoy"
29-05-2022,2022,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,130,9,133,3,Gujarat Titans,complete,0,7,HH Pandya,J Srinath,CB Gaffaney,Nitin Menon,KN Ananthapadmanabhan,AK Chaudhary,20,"YBK Jaiswal, JC Buttler, SV Samson, D Padikkal, SO Hetmyer, R Ashwin, R Parag, TA Boult, OC McCoy, M Prasidh Krishna, YS Chahal","WP Saha, Shubman Gill, MS Wade, HH Pandya, DA Miller, R Tewatia, Rashid Khan, R Sai Kishore, LH Ferguson, Yash Dayal, Mohammed Shami"
31-03-2023,2023,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,178,7,182,5,Gujarat Titans,complete,0,5,Rashid Khan,J Srinath,Nitin Menon,HAS Khalid,VK Sharma,A Bengeri,20,"TU Deshpande, DP Conway, RD Gaikwad, MM Ali, BA Stokes, AT Rayudu, S Dube, RA Jadeja, MS Dhoni, MJ Santner, DL Chahar, RS Hangargekar","KS Williamson, WP Saha, Shubman Gill, B Sai Sudharsan, HH Pandya, V Shankar, R Tewatia, Rashid Khan, Mohammed Shami, J Little, Yash Dayal, AS Joseph"
01-04-2023,2023,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,193,6,143,9,Lucknow Super Giants,complete,50,0,MA Wood,DS Manohar,AK Chaudhary,NA Patwardhan,GR Sadashiv Iyer,M Kuppuraj,20,"KL Rahul, KR Mayers, DJ Hooda, KH Pandya, MP Stoinis, N Pooran, A Badoni, K Gowtham, Avesh Khan, Ravi Bishnoi, JD Unadkat, MA Wood","KK Ahmed, PP Shaw, DA Warner, MR Marsh, SN Khan, RR Rossouw, R Powell, Aman Hakim Khan, AR Patel, Kuldeep Yadav, C Sakariya, Mukesh Kumar"
01-04-2023,2023,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,191,5,146,7,Punjab Kings,complete,7,0,Arshdeep Singh,M Nayyar,BNJ Oxenford,YC Barde,J Madanagopal,PM Joshi,20,"P Simran Singh, S Dhawan, PBB Rajapaksa, JM Sharma, Sikandar Raza, SM Curran, M Shahrukh Khan, Harpreet Brar, RD Chahar, Arshdeep Singh, NT Ellis, R Dhawan","Mandeep Singh, Rahmanullah Gurbaz, AS Roy, VR Iyer, N Rana, RK Singh, AD Russell, SN Thakur, SP Narine, TG Southee, UT Yadav, CV Varun"
02-04-2023,2023,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,171,7,172,2,Royal Challengers Bangalore,complete,0,8,F du Plessis,J Srinath,Nitin Menon,Tapan Sharma,VK Sharma,A Bengeri,20,"JP Behrendorff, RG Sharma, Ishan Kishan, C Green, SA Yadav, Tilak Varma, N Wadhera, TH David, HR Shokeen, Arshad Khan, PP Chawla, JC Archer","V Kohli, F du Plessis, KD Karthik, GJ Maxwell, MG Bracewell, Shahbaz Ahmed, HV Patel, Akash Deep, RJW Topley, Mohammed Siraj, KV Sharma"
02-04-2023,2023,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,203,5,131,8,Rajasthan Royals,complete,72,0,JC Buttler,V Narayan Kutty,KN Ananthapadmanabhan,R Pandit,Navdeep Singh,Abhijit Bhattacharya,20,"NA Saini, YBK Jaiswal, JC Buttler, SV Samson, D Padikkal, R Parag, SO Hetmyer, R Ashwin, JO Holder, TA Boult, KM Asif, YS Chahal","Fazalhaq Farooqi, Abhishek Sharma, MA Agarwal, RA Tripathi, HC Brook, Washington Sundar, GD Phillips, Abdul Samad, AU Rashid, B Kumar, Umran Malik, T Natarajan"
03-04-2023,2023,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,217,7,205,7,Chennai Super Kings,complete,12,0,MM Ali,M Nayyar,A Totre,BNJ Oxenford,UV Gandhe,PM Joshi,20,"TU Deshpande, RD Gaikwad, DP Conway, S Dube, MM Ali, BA Stokes, AT Rayudu, RA Jadeja, MS Dhoni, MJ Santner, DL Chahar, RS Hangargekar","Avesh Khan, KL Rahul, KR Mayers, DJ Hooda, KH Pandya, MP Stoinis, N Pooran, A Badoni, K Gowtham, MA Wood, Yash Thakur, Ravi Bishnoi"
04-04-2023,2023,Delhi,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,162,8,163,4,Gujarat Titans,complete,0,6,B Sai Sudharsan,DS Manohar,A Nand Kishore,GR Sadashiv Iyer,AK Chaudhary,M Kuppuraj,20,"KK Ahmed, DA Warner, PP Shaw, MR Marsh, SN Khan, RR Rossouw, Abishek Porel, AR Patel, Aman Hakim Khan, Kuldeep Yadav, A Nortje, Mukesh Kumar","J Little, WP Saha, Shubman Gill, B Sai Sudharsan, HH Pandya, V Shankar, DA Miller, R Tewatia, Rashid Khan, AS Joseph, Yash Dayal, Mohammed Shami"
05-04-2023,2023,Guwahati,"Barsapara Cricket Stadium, Guwahati",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,197,5,192,7,Punjab Kings,complete,5,0,NT Ellis,V Narayan Kutty,KN Ananthapadmanabhan,MV Saidharshan Kumar,R Pandit,Abhijit Bhattacharya,20,"P Simran Singh, S Dhawan, PBB Rajapaksa, JM Sharma, Sikandar Raza, M Shahrukh Khan, SM Curran, Harpreet Brar, NT Ellis, RD Chahar, Arshdeep Singh, R Dhawan","YBK Jaiswal, R Ashwin, JC Buttler, SV Samson, D Padikkal, R Parag, SO Hetmyer, Dhruv Jurel, JO Holder, YS Chahal, TA Boult, KM Asif"
06-04-2023,2023,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,204,7,123,10,Kolkata Knight Riders,complete,81,0,SN Thakur,Shakti Singh,Vinod Seshan,VK Sharma,Nitin Menon,A Bengeri,20,"Suyash Sharma, Rahmanullah Gurbaz, VR Iyer, Mandeep Singh, N Rana, RK Singh, AD Russell, SN Thakur, SP Narine, UT Yadav, TG Southee, CV Varun","Mohammed Siraj, V Kohli, F du Plessis, MG Bracewell, GJ Maxwell, HV Patel, Shahbaz Ahmed, KD Karthik, Anuj Rawat, DJ Willey, KV Sharma, Akash Deep"
07-04-2023,2023,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,121,8,127,5,Lucknow Super Giants,complete,0,5,KH Pandya,M Nayyar,J Madanagopal,YC Barde,BNJ Oxenford,PM Joshi,20,"Fazalhaq Farooqi, Anmolpreet Singh, MA Agarwal, RA Tripathi, AK Markram, HC Brook, Washington Sundar, Abdul Samad, AU Rashid, Umran Malik, B Kumar, T Natarajan","A Mishra, KR Mayers, KL Rahul, DJ Hooda, KH Pandya, MP Stoinis, R Shepherd, N Pooran, Yash Thakur, JD Unadkat, Ravi Bishnoi, A Badoni"
08-04-2023,2023,Guwahati,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,199,4,142,9,Rajasthan Royals,complete,57,0,YBK Jaiswal,V Narayan Kutty,Navdeep Singh,MV Saidharshan Kumar,KN Ananthapadmanabhan,Abhijit Bhattacharya,20,"M Ashwin, YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, Dhruv Jurel, JO Holder, R Ashwin, YS Chahal, TA Boult, Sandeep Sharma","KK Ahmed, PP Shaw, DA Warner, MK Pandey, RR Rossouw, Lalit Yadav, AR Patel, R Powell, Abishek Porel, Kuldeep Yadav, A Nortje, Mukesh Kumar"
08-04-2023,2023,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,157,8,159,3,Chennai Super Kings,complete,0,7,RA Jadeja,DS Manohar,CB Gaffaney,NA Patwardhan,AK Chaudhary,M Kuppuraj,20,"K Kartikeya, RG Sharma, Ishan Kishan, C Green, SA Yadav, Tilak Varma, Arshad Khan, TH David, T Stubbs, HR Shokeen, PP Chawla, JP Behrendorff","DL Chahar, DP Conway, RD Gaikwad, AM Rahane, S Dube, AT Rayudu, RA Jadeja, MS Dhoni, D Pretorius, MJ Santner, SSB Magala, TU Deshpande"
09-04-2023,2023,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,204,4,207,7,Kolkata Knight Riders,complete,0,3,RK Singh,J Srinath,Nitin Menon,Tapan Sharma,HAS Khalid,A Bengeri,20,"J Little, WP Saha, Shubman Gill, B Sai Sudharsan, A Manohar, V Shankar, DA Miller, R Tewatia, Rashid Khan, AS Joseph, Mohammed Shami, Yash Dayal","Suyash Sharma, Rahmanullah Gurbaz, N Jagadeesan, VR Iyer, N Rana, RK Singh, AD Russell, SP Narine, SN Thakur, UT Yadav, LH Ferguson, CV Varun"
